title,price_gbp
The Requiem Red,22.65
The Dirty Little Secrets of Getting Your Dream Job,33.34
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6
Shakespeare's Sonnets,20.66
Rip it Up and Start Again,35.02
Olio,23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59
How Music Works,37.32
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52
Chase Me (Paris Nights #2),25.27
Black Dust,34.53
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05
The Elephant Tree,23.82
The Bear and the Piano,36.89
Penny Maybe,33.29
You can't bury them all: Poems,33.63
Reasons to Stay Alive,26.41
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11
When We Collided,31.77
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12
The Nameless City (The Nameless City #1),38.16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24
Soul Reader,39.58
Security,39.25
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28
My Paris Kitchen: Recipes and Stories,33.37
Join,35.67
In the Country We Love: My Family Divided,22.0
